,State_FIPS_Code,County_FIPS_Code,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate
1019,21,57,7147,7.2,12.3,6.3,1.3,12.4,47.9,21.4,2206,243,397,479,386,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.2,1390,1197,328,42.0,56.0
2030,38,85,4182,7.8,15.5,8.8,1.1,37.5,88.2,46.7,470,96,109,197,150,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,21.9,-1111.1,12.9,15.0,1111,225,67,23.9,23.9
700,18,11,52061,6.3,11.7,2.0,2.5,12.0,16.7,14.9,3935,1062,1361,3426,2244,17063,88.8,-1111.1,-1111.1,-1111.1,-1111.1,23.7,74.4,29.9,6.1,2883,5189,583,159.4,38.4
1683,31,63,2795,7.3,12.3,2.6,1.7,12.7,46.2,-1111.1,216,46,51,172,114,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,20.1,-1111.1,-1111.1,6.7,485,479,40,0.0,0.0
1652,31,1,33070,6.1,10.8,3.2,1.7,12.4,10.4,7.3,2939,555,549,2007,1330,744343,79.0,81.0,37.6,70.8,81.3,22.7,81.0,27.4,5.5,2956,4585,609,84.7,66.5
718,18,47,23085,6.8,11.2,4.3,1.7,15.1,27.0,10.4,3614,764,453,1539,1007,10574,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.5,86.1,-1111.1,9.5,1992,2516,418,17.3,13.0
2085,39,89,154806,8.1,12.7,3.5,1.7,7.4,15.9,9.7,15653,4668,4692,10541,7665,2453710,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,26.5,77.7,25.2,9.3,12111,17137,2864,38.1,31.7
2523,48,5,81557,7.7,12.7,6.4,1.2,13.4,27.6,13.0,14899,2198,1901,4189,3414,1043749,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,38.4,80.9,-1111.1,8.9,14269,10120,2546,56.4,35.6
2024,38,73,5810,6.3,13.2,2.3,1.1,18.4,24.4,-1111.1,783,98,74,339,175,412532,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,28.4,73.9,30.8,6.6,359,1106,89,68.8,34.4
316,10,5,176548,7.9,13.2,4.2,2.0,24.7,23.2,11.2,29734,3333,5203,10618,10978,4914341,87.4,85.5,57.9,68.9,66.8,27.9,78.9,32.5,8.9,21623,30270,4295,63.4,14.2
426,13,85,19731,6.5,9.5,4.5,1.6,5.0,30.9,7.3,2774,409,534,1204,974,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.2,1999,1791,396,55.7,10.1
1049,21,117,153665,7.5,11.6,3.3,1.9,8.9,10.1,13.8,18046,4423,4291,9749,8292,26097,84.3,82.5,43.7,56.7,62.9,24.0,79.9,27.8,7.3,14557,16008,3524,104.1,39.7
1939,37,103,10311,11.4,13.0,8.6,1.3,24.5,24.6,12.4,1990,243,344,609,682,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.0,1839,1465,415,77.6,0.0
1983,37,191,114448,9.2,13.6,5.7,1.2,26.3,26.2,9.3,16880,2810,1999,6467,7518,2420640,85.3,84.9,-1111.1,-1111.1,-1111.1,32.1,80.3,36.0,11.7,17529,13496,4266,62.0,41.1
181,5,145,71332,9.4,13.2,4.2,1.0,18.6,30.8,15.1,12334,1898,2230,4559,4323,24632,79.1,67.6,28.5,64.9,75.1,30.2,80.5,25.4,8.7,10331,9602,2200,58.9,30.8
231,6,95,411593,6.7,10.5,2.9,2.6,24.7,11.6,9.4,41902,11422,9763,20576,27611,978872,87.7,93.6,-1111.1,-1111.1,-1111.1,18.6,72.0,21.9,6.4,54843,36481,6473,81.1,53.9
2956,53,9,69689,4.4,9.2,3.3,3.0,-2222.2,19.4,18.0,7236,1824,2040,4436,4601,90703,72.5,71.7,52.1,71.9,70.1,21.0,73.0,27.8,6.3,8411,14698,1982,100.4,53.1
374,12,113,143105,7.8,13.4,3.5,2.3,9.8,22.5,15.0,13981,2264,5550,7635,7605,2703570,88.3,89.9,54.5,-1111.1,-1111.1,24.6,75.6,24.6,4.8,15347,14882,3139,65.0,20.3
2131,40,5,14456,7.6,10.8,6.5,0.8,24.0,28.4,14.2,3052,287,535,908,647,-2222,74.8,-1111.1,-1111.1,-1111.1,-1111.1,35.3,87.5,-1111.1,11.1,2819,1778,386,0.0,20.8
501,13,237,19829,9.0,13.2,7.3,1.3,22.1,34.9,14.6,3353,547,626,1232,991,13659321,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.3,3004,2543,467,30.3,10.1
135,5,53,17348,8.2,13.1,3.8,0.9,15.1,32.7,17.7,2709,393,539,1131,977,92362,83.0,-1111.1,-1111.1,-1111.1,-1111.1,35.8,88.3,-1111.1,4.0,2038,1924,467,40.4,17.3
2383,46,49,2386,5.2,7.7,2.8,2.4,39.5,-1111.1,-1111.1,437,47,38,136,82,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,32.4,-1111.1,-1111.1,6.3,336,639,35,0.0,0.0
2090,39,99,254274,9.9,13.5,4.4,1.9,18.9,11.5,11.2,29932,8130,8316,17762,13142,1045841,83.8,83.1,38.7,-1111.1,59.0,27.5,78.1,25.3,7.4,28707,44112,6117,115.2,62.1
2830,51,25,17920,12.7,19.4,6.6,0.9,28.4,34.4,11.5,4614,372,540,1066,883,8,91.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,19.1,2256,2516,605,16.7,11.2
