,State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Abbr,Population_Size,LBW,Premature,Under_18,Over_40,Late_Care,MVA,Suicide,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Toxic_Chem,Pap_Smear,Mammogram,Proctoscopy,Pneumo_Vax,Flu_Vac,No_Exercise,Few_Fruit_Veg,High_Blood_Pres,Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,ALE
0,1,1,Autauga,AL,48612,8.1,14.3,5.1,1.4,12.9,27.3,16.6,6690,774,1727,2680,2394,2883197,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,27.8,78.6,29.1,14.2,5690,4762,1209,45.3,22.6,74.9
1,1,3,Baldwin,AL,162586,8.6,15.3,4.3,1.9,15.3,25.1,14.3,20254,2533,4933,9354,7753,35664,86.1,82.0,44.1,58.7,61.8,27.2,76.2,30.5,7.2,19798,22635,3839,67.0,30.8,76.6
2,1,5,Barbour,AL,28414,11.0,16.7,7.7,1.1,26.0,26.2,10.3,6729,569,1302,1618,1403,49874,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.6,5126,3288,1092,45.8,24.6,74.5
3,1,7,Bibb,AL,21516,8.7,13.7,6.5,0.9,16.3,35.4,14.8,5355,358,900,1218,1034,7302,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,86.6,-1111.1,13.1,3315,2390,974,41.8,18.6,73.2
4,1,9,Blount,AL,55725,7.6,12.8,5.0,1.3,16.7,27.4,14.4,11181,819,2217,3164,2675,889020,87.2,-1111.1,-1111.1,-1111.1,-1111.1,33.5,74.6,-1111.1,8.4,8131,5019,1300,16.2,10.8,76.1
5,1,11,Bullock,AL,11055,13.7,22.6,10.8,1.2,34.4,52.2,-1111.1,2848,327,448,626,565,-2222,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2295,1433,504,54.3,18.1,71.9
6,1,13,Butler,AL,20766,9.8,15.7,9.0,1.2,20.3,37.7,11.9,4363,537,976,1164,1029,98136,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,24.5,-1111.1,-1111.1,9.5,4055,3150,952,43.3,19.3,73.0
7,1,15,Calhoun,AL,112141,9.0,14.1,4.8,0.8,12.1,25.5,13.6,19546,2182,5722,6400,5545,808521,82.7,76.5,46.2,57.3,56.2,29.2,81.9,33.2,11.2,16456,16440,5301,75.8,41.9,73.1
8,1,17,Chambers,AL,35460,9.3,15.2,7.3,0.9,17.6,27.9,12.8,8718,849,1470,2005,1647,276636,87.9,-1111.1,-1111.1,-1111.1,-1111.1,34.7,84.6,-1111.1,17.1,5533,5473,1497,53.6,22.6,73.8
9,1,19,Cherokee,AL,24522,8.4,12.2,7.6,0.9,14.1,32.7,17.7,6398,464,1154,1436,1140,7077,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.3,3583,3086,854,28.5,12.2,75.3
