,ALE
1019,74.0
2030,76.7
700,77.3
1683,77.7
1652,78.2
718,77.1
2085,76.2
2523,75.0
2024,78.3
316,76.5
426,76.4
1049,76.1
1939,73.6
1983,73.7
181,75.1
231,77.7
2956,78.1
374,76.4
2131,74.3
501,74.6
135,73.6
2383,77.0
2090,75.5
2830,73.7
2405,77.5
292,75.7
2215,76.2
2603,77.0
1433,74.1
1348,79.5
2110,76.3
2497,75.0
464,72.9
2927,75.1
2454,74.2
1849,76.7
2568,75.4
1029,73.8
2247,77.4
1239,76.3
2962,77.3
1372,79.4
1354,79.7
592,77.3
2416,78.8
25,75.2
702,77.3
1659,79.5
19,74.7
1658,78.3
1897,75.8
642,77.5
966,79.8
3052,77.0
446,73.4
1569,75.6
2922,73.3
2505,74.6
2456,73.5
2329,72.2
234,76.8
808,78.1
2752,76.8
1740,78.3
883,77.3
2371,78.8
1468,73.6
2769,75.2
840,79.6
758,77.2
2972,76.3
1367,78.9
1189,75.6
392,74.1
1837,77.1
3085,76.8
1879,78.3
983,77.9
794,77.3
2875,74.0
2593,74.0
10,74.1
29,73.6
1199,74.8
350,74.2
835,79.0
76,76.9
2510,74.6
1710,78.4
2357,73.0
194,76.9
2843,74.1
2892,77.5
2203,74.8
1237,77.5
1934,74.0
482,73.8
960,77.8
937,77.0
1131,71.6
2645,76.1
2016,78.1
2308,78.2
538,76.2
530,74.1
1938,75.1
144,75.7
1724,77.7
1825,76.1
412,76.7
221,77.9
2754,75.1
1805,76.6
2765,78.5
3100,77.6
2654,78.8
242,78.5
2433,73.8
2449,74.9
1860,77.9
2388,77.0
2625,78.7
2420,77.0
1272,77.0
2606,78.8
2038,78.7
2794,77.9
688,77.0
787,77.7
1531,77.0
210,79.4
1274,77.3
522,72.7
3137,78.2
652,75.7
850,76.1
905,78.3
233,76.2
2233,77.4
1729,78.5
1059,74.8
99,76.8
1931,76.9
3041,75.3
1450,74.1
269,80.8
1438,72.7
1374,78.3
467,74.0
671,76.1
2786,76.9
149,74.0
2270,77.7
801,77.7
1287,75.6
1186,78.8
951,77.3
30,74.7
1536,76.5
2386,74.6
285,78.3
1864,78.5
2867,76.2
531,75.9
1195,74.0
2264,77.0
2187,75.6
1079,74.9
833,78.2
888,77.0
1547,72.7
1760,75.7
57,74.9
2805,77.9
627,74.9
1419,73.6
1789,79.5
1695,77.5
959,78.4
542,73.9
435,75.8
2581,78.3
26,73.2
2692,73.5
529,73.5
175,74.0
393,73.0
127,73.2
2162,74.1
3017,74.4
956,78.4
2623,77.3
2585,75.2
2268,76.3
1757,75.7
49,74.7
111,77.0
550,77.3
2501,74.2
2198,76.4
1016,72.7
1944,77.8
1183,76.9
320,75.3
1130,73.2
1564,75.8
2241,78.1
1053,75.1
604,76.6
2570,76.7
820,79.2
1460,72.7
146,74.6
1538,75.8
1887,77.1
2958,77.7
2107,77.8
736,75.2
2496,75.8
2885,76.5
218,78.9
1391,78.1
2486,75.0
1270,77.4
865,78.5
1528,75.2
639,79.0
2363,78.3
359,79.6
2543,76.3
2746,76.2
1865,79.0
2052,75.2
926,76.6
3053,80.1
3020,71.5
74,76.9
2908,75.8
1123,73.5
3031,74.8
589,77.6
2395,78.5
447,75.4
1155,75.6
313,76.8
2212,76.2
958,77.3
3060,78.7
2355,74.4
235,75.8
2230,76.6
2852,75.7
2155,75.9
2020,77.6
1855,79.2
2197,75.4
2539,74.8
1265,77.6
726,78.1
2854,75.8
3103,76.3
3042,75.5
2592,77.0
1107,74.9
810,78.9
2105,75.6
1878,75.4
689,75.8
2806,77.3
541,72.3
1745,75.5
2681,74.4
1667,78.4
1579,76.1
2517,76.1
1920,72.0
633,77.2
574,77.6
2083,77.8
2836,76.9
141,74.9
1541,75.8
1377,79.4
1383,79.2
952,76.4
160,72.6
497,73.3
1833,77.1
1080,75.4
1264,76.4
990,73.2
2530,78.1
1589,75.9
1173,73.9
593,77.7
1261,77.6
2801,80.7
1312,77.5
325,79.5
2124,76.3
1843,77.5
3069,77.5
4,76.1
494,75.9
1181,78.1
2223,75.5
1294,76.9
2560,76.5
2404,76.8
1664,78.5
245,80.8
2866,75.1
917,77.9
1298,79.9
970,77.2
2730,73.1
12,74.0
2610,76.0
2238,77.4
944,77.8
2615,77.3
520,73.0
1555,74.3
585,77.3
1114,74.6
2689,75.0
2113,73.4
250,80.1
2058,76.0
3034,75.2
1501,76.5
2078,78.1
1912,75.5
2029,76.8
1172,73.0
1733,78.3
1327,77.8
2898,75.3
2262,78.8
1987,77.5
1380,77.8
2822,76.7
1783,78.3
3079,76.8
2271,75.8
1040,75.2
2000,77.6
838,80.5
716,76.2
167,72.9
741,75.7
1896,73.0
1014,74.7
2034,78.0
298,74.8
1432,74.3
3104,77.6
36,73.6
1166,73.8
5,71.9
2899,77.2
651,76.6
212,79.2
2741,76.0
271,81.3
1696,79.5
2827,77.5
972,76.6
707,74.9
2368,77.5
1332,80.5
137,74.7
924,77.4
1858,77.4
491,74.9
2297,77.0
2851,77.7
153,76.5
2284,76.6
224,80.3
283,78.5
2019,78.3
284,74.8
2326,72.3
107,77.8
600,78.2
1007,75.1
1826,77.7
2133,74.3
2595,77.0
607,76.4
2868,75.7
385,72.9
437,72.2
1923,73.9
1061,75.5
1848,77.6
3,73.2
2397,79.2
3071,77.3
478,72.3
978,77.3
1150,73.6
2878,75.9
634,76.5
1273,80.2
2171,74.6
2278,76.9
2272,77.7
1790,77.6
1883,77.5
2716,75.2
3110,78.1
371,73.7
244,79.0
828,78.4
2062,76.7
2783,77.8
1625,76.4
2028,78.3
617,77.7
2828,74.7
968,78.2
806,78.0
2216,77.4
2552,73.5
113,76.9
2299,76.3
1998,78.3
70,76.9
2749,73.8
2091,75.9
1318,79.3
208,77.1
2663,76.3
1845,76.5
246,75.7
1062,75.1
2261,76.8
3049,76.3
1317,78.7
1793,77.7
807,79.4
3023,75.1
1268,76.8
2847,77.5
229,77.8
1925,75.8
2961,76.4
1471,75.8
173,76.5
1571,74.3
1707,77.7
2116,77.0
2542,76.8
2691,77.3
1693,77.7
1948,76.1
1668,76.4
675,74.5
885,78.6
1796,76.1
691,77.8
612,77.7
2513,74.2
1058,75.4
86,76.9
339,74.5
1101,75.1
599,76.5
142,73.2
2524,75.2
1956,74.2
2729,76.2
505,72.7
2648,77.1
800,79.1
1135,73.4
1477,74.2
1829,77.7
2553,76.0
1063,75.4
156,72.9
2046,77.5
1919,75.6
3105,78.5
2274,77.1
860,78.4
2538,75.2
1511,75.6
725,76.8
2714,74.7
2845,74.6
1234,75.3
2056,75.5
1431,72.5
1567,76.3
2436,75.1
2653,78.3
882,80.8
1081,75.3
2401,77.0
1425,72.1
39,74.3
1844,77.8
527,73.9
557,77.3
2255,79.4
698,77.0
1771,77.3
1140,74.1
994,74.7
1626,76.1
916,74.3
1685,77.4
1929,73.5
2860,76.9
1047,76.1
289,81.3
2795,77.9
2077,74.8
1906,77.3
1266,76.5
377,78.3
3087,76.7
2630,76.6
155,71.6
373,76.8
42,71.7
2879,76.9
2556,75.7
2340,74.7
2108,77.5
2717,75.9
1975,78.2
1071,74.2
349,73.8
2747,78.2
1872,77.9
375,79.6
715,75.1
3127,77.7
2931,76.3
94,73.9
337,74.8
368,76.7
2528,77.0
408,73.3
2207,80.9
2452,73.4
1105,75.8
902,78.2
2351,72.8
1445,72.2
1429,73.9
1853,78.2
67,76.9
2096,76.6
2526,76.0
281,77.5
2072,78.1
2167,74.1
1128,73.0
322,77.9
874,77.7
2267,75.8
664,77.2
750,77.0
2098,76.6
1086,74.2
2153,74.1
2720,76.0
2281,76.0
837,78.9
1895,73.2
2273,77.2
3070,78.0
2287,78.8
2732,76.0
1979,78.1
2414,78.5
119,75.0
172,74.5
2156,74.8
2569,76.3
692,75.5
1257,77.1
2626,75.9
1165,74.6
3091,79.9
2312,77.7
1104,75.9
1744,79.2
124,75.3
1603,76.8
1240,76.8
2917,78.1
2832,75.3
3015,76.3
2469,74.0
3099,77.1
260,80.3
752,75.7
2577,76.3
1967,75.3
803,77.8
1176,77.0
1255,76.9
1533,75.6
2660,76.5
2104,75.2
1655,76.4
2451,75.9
53,73.5
2010,78.3
405,72.2
1601,77.5
248,78.5
2044,75.8
1271,74.6
1875,78.0
1996,79.1
1465,71.1
1615,77.8
1001,75.3
2874,76.6
2936,74.7
2409,79.2
2332,74.7
296,78.5
2146,74.5
971,77.9
693,76.8
614,79.6
481,75.0
843,79.3
891,76.4
2947,74.2
419,73.4
1715,77.0
2007,78.3
1030,76.1
1229,77.1
2515,75.5
1684,77.7
811,78.7
1901,75.8
870,81.3
1806,75.0
735,77.6
2005,78.9
1263,77.1
496,76.4
558,77.6
2841,76.1
2100,75.8
1177,78.3
2410,77.6
2406,66.6
1241,74.8
1296,77.1
2778,79.0
669,75.5
1786,77.8
2305,76.5
2421,79.1
973,77.8
402,73.3
1279,77.5
1334,79.0
102,74.8
1907,75.8
621,77.2
1992,77.2
1233,77.6
1028,74.7
2071,76.0
2338,74.7
3037,77.0
2802,77.6
2487,74.3
1232,77.0
2166,74.8
3036,74.9
1336,78.5
1732,78.3
2555,76.8
1020,76.0
1487,75.3
3067,78.1
3001,74.4
3082,79.8
1347,78.2
643,76.0
386,73.1
1614,76.4
774,75.7
2990,77.2
1921,76.4
834,79.4
1127,74.9
864,76.1
560,76.8
2324,74.1
1164,73.5
28,73.9
1426,72.1
709,76.4
2536,77.8
323,78.3
312,78.7
177,76.5
1953,73.9
1593,77.0
1828,75.0
2562,75.4
610,77.4
2315,74.8
1000,74.3
1674,78.3
1248,75.8
2920,76.1
2916,76.3
182,72.9
549,79.2
683,74.6
1712,79.0
338,76.0
1423,73.5
2810,78.7
1605,75.8
1485,75.3
2202,77.1
488,77.1
3027,75.1
1203,79.7
1859,77.6
169,75.0
1761,75.3
1219,78.5
2393,77.0
362,75.5
1197,75.1
1145,73.7
2382,77.6
979,76.6
1393,79.8
685,76.0
1814,74.2
1310,73.4
3119,77.7
1754,75.5
358,76.7
2221,76.2
2673,75.4
1399,72.6
910,75.6
844,79.6
1842,77.0
1397,78.9
2140,73.2
1478,75.3
2463,73.9
2190,73.6
1691,77.2
118,75.5
705,75.6
243,76.5
2982,78.4
1573,75.8
1235,76.4
2764,75.6
3005,76.3
1748,77.7
1277,76.6
469,74.7
1701,76.9
360,77.6
1360,78.5
1594,75.2
933,77.4
2612,74.4
1122,74.3
863,77.9
2905,73.3
1765,76.2
764,77.1
1699,78.7
2672,76.0
699,76.0
1338,78.8
1639,72.8
1409,71.9
1728,78.2
2154,74.8
1810,74.5
2549,76.6
3018,74.2
524,74.0
365,76.9
508,72.8
1434,75.5
3045,72.9
2959,76.4
277,79.7
329,73.8
1097,75.5
1073,72.6
2807,78.7
935,75.5
334,78.4
1851,77.6
2450,73.4
2848,76.5
470,73.1
853,77.5
2070,75.7
2334,72.7
3115,77.5
2559,75.0
950,76.6
2649,74.4
128,73.6
2546,76.6
2906,74.7
1361,79.8
258,75.9
14,75.3
458,74.3
2858,74.2
361,77.5
2225,77.8
1378,80.3
1622,76.1
348,74.8
333,75.2
442,77.5
2558,75.2
3101,78.4
2208,78.4
1850,78.0
2789,80.8
1742,77.8
66,73.5
2322,74.3
1835,77.0
1747,79.8
1753,74.5
798,79.3
198,75.7
857,79.3
1009,75.8
1215,79.4
422,75.8
2319,74.8
22,75.5
2888,75.3
71,76.9
2214,78.7
1512,77.0
1313,79.1
2205,76.3
252,81.3
484,75.1
1402,72.7
2965,74.9
1558,70.9
1774,77.6
578,76.8
1609,76.4
1981,73.2
2136,72.6
2886,75.9
1532,76.1
563,77.0
1635,77.5
1284,78.8
399,75.8
257,77.6
2590,75.5
295,76.5
872,78.5
552,77.8
832,79.2
3021,77.2
396,74.5
2613,74.9
855,77.0
1405,74.0
457,75.3
2937,73.3
209,78.3
889,77.4
286,77.1
425,74.1
1682,77.7
1430,71.9
1443,73.7
567,80.8
2647,76.2
757,75.2
2285,77.0
2812,78.6
54,73.7
2666,72.6
465,73.4
2017,78.1
2391,78.0
2259,76.7
3074,76.3
714,77.1
1072,75.3
2512,74.2
1977,76.4
1617,77.7
2296,78.3
1644,79.3
121,73.3
1702,77.5
201,77.1
577,79.1
1735,80.1
1816,79.0
1379,78.1
1010,74.7
2222,76.8
2256,78.7
1254,76.2
406,74.3
1210,78.5
1957,75.1
976,78.1
311,78.8
1575,73.6
788,77.8
573,76.8
1371,78.0
1943,78.2
2109,78.1
2127,77.8
2904,76.0
189,76.8
884,77.8
812,78.0
1787,77.1
1481,77.9
3007,74.9
2935,74.6
3112,79.6
1322,76.2
3002,77.0
2263,76.7
2459,74.2
1634,77.8
2981,77.3
2204,76.3
1341,79.2
1866,79.0
2715,77.9
2824,80.1
2075,77.0
1331,79.8
1295,74.6
2165,74.6
2640,76.6
2863,76.0
1827,77.1
2254,75.9
72,76.9
1509,76.4
503,76.9
2678,73.5
2485,75.1
262,80.3
474,73.8
995,76.3
2857,73.3
1946,71.2
2033,78.9
2573,76.9
197,78.3
1770,78.1
2976,76.5
223,79.4
513,74.1
1498,74.9
2092,78.5
768,76.9
2152,75.3
2178,74.6
2480,73.0
1382,78.2
20,73.7
1914,75.1
1025,75.3
2311,79.3
969,77.4
164,72.4
434,73.1
906,77.3
723,79.1
1958,76.3
2797,77.0
294,78.5
928,77.3
945,77.8
1099,75.4
1778,74.7
918,78.3
2220,78.0
429,72.8
1158,74.3
490,73.8
1461,72.1
1455,73.2
462,74.0
1162,76.2
1881,77.5
2694,75.2
75,76.9
1585,76.7
369,77.2
2101,76.6
266,81.3
2911,75.3
2173,72.1
251,77.9
2912,78.5
911,78.9
2551,80.1
2711,78.8
3135,76.1
3003,75.4
1876,77.1
539,75.3
2128,77.1
